discovered_ts_ms,condition_id,market_slug,coin,timeframe,question,token_id_up,token_id_down,end_date,end_ts_ms
1773171905350,0x2965a4e1518bcd9daa0564072ac2f7973386ac7563b08fd804addbc14f09b558,sol-updown-5m-1773181500,SOL,5m,"Solana Up or Down - March 10, 6:25PM-6:30PM ET",29495874149329757399661389363784230137877522775629631701010820137066424220200,95847732195016394720853722444638317693120932883231477971563971938848160389803,2026-03-10T22:30:00Z,1773181800000
1773171905350,0xf05af05d182f2cc5d211f2d4f08531c1ae1e076ed75c3907e2c0e09be935d71c,sol-updown-5m-1773181800,SOL,5m,"Solana Up or Down - March 10, 6:30PM-6:35PM ET",5460110821870569658464770361465437874800894706146553671228365766010940095745,3968557380465600901433938098231884795518741725143763532469928812654208427806,2026-03-10T22:35:00Z,1773182100000
1773171905350,0x61f8fbc38932d02a36782b5a3035e476bf363ae673b4e1411c64244865ab818c,sol-updown-15m-1773181800,SOL,15m,"Solana Up or Down - March 10, 6:30PM-6:45PM ET",96828691926237425368026333429773329577931378876392847827118406041810431240420,90401731468626678610991878103225276244377009006681946159538779027673188220500,2026-03-10T22:45:00Z,1773182700000
1773171905350,0x1b5b393a059ff786f4924807bf35cdb3f88ba7d4038baad58222b6c3a35b33e7,sol-updown-5m-1773182100,SOL,5m,"Solana Up or Down - March 10, 6:35PM-6:40PM ET",68420273113598800598269379754668583495752684467029893905548838357016406245521,69176310863653193780368946524539699984776477628433980747567827026231388950898,2026-03-10T22:40:00Z,1773182400000
1773171905350,0xd574599b0c168097b21eb04256f0a5c083e8d7fd94888d942822636fa45b3b68,sol-updown-5m-1773182400,SOL,5m,"Solana Up or Down - March 10, 6:40PM-6:45PM ET",49410060784525763332751978489168585744777802619018945653579850556399652982744,86324459789827904212090607208851289243370927942253679576040729866139602510841,2026-03-10T22:45:00Z,1773182700000
1773171905350,0xf3065f505b38717174d4ddf68c1c1a608e309938945ef04faf6f913c29a353c1,sol-updown-15m-1773182700,SOL,15m,"Solana Up or Down - March 10, 6:45PM-7:00PM ET",20087967851501764047383892013074703268548568196085126146296282204522586278032,15929923923611468847841372627257343990098716039990253871554874713339269095879,2026-03-10T23:00:00Z,1773183600000
1773171905350,0x77ae14a7c58ff58aaac66b3505ce0459ea841e1a24965881620d41a1c2798145,sol-updown-5m-1773182700,SOL,5m,"Solana Up or Down - March 10, 6:45PM-6:50PM ET",50081009779849300475766208651259181091681394258111324392109630996755959412856,7065154045272161324859500150908607968532757364740639038366473912833575315106,2026-03-10T22:50:00Z,1773183000000
1773171905350,0xac2f38f754b368a434eabefce330d2fb2cb79aa0b94db1c7c4050c74896521b9,sol-updown-5m-1773183000,SOL,5m,"Solana Up or Down - March 10, 6:50PM-6:55PM ET",47651214915511250913590310601645956458984212773850269168876119157754582335648,45230614659510842069783333173473218760588371903748166746682154913136442146697,2026-03-10T22:55:00Z,1773183300000
1773171905350,0xe7606d1b2a2ff2dd7219b5a4d7bdb960d22140e9c909b9559b3352aa63d84f7d,sol-updown-5m-1773183300,SOL,5m,"Solana Up or Down - March 10, 6:55PM-7:00PM ET",54363074486555682069898557809768419475064617734658301687499985112221463497034,104174146944784123117275400040230651108090485031747966884671381054514861359525,2026-03-10T23:00:00Z,1773183600000
1773171905350,0xa7d424fd22cd49845515ed67543fc26439f9d211d9ec0719ea2dc9e251b19d60,sol-updown-15m-1773183600,SOL,15m,"Solana Up or Down - March 10, 7:00PM-7:15PM ET",21090914223148395917018272858749136817354640904950240821007309632023533134301,13788483599652602708516522994024948064224980597575623776639004984872403989233,2026-03-10T23:15:00Z,1773184500000
1773171905350,0x38d267bd49e8db3364d46131237ab9134a3d719e89ca69d871c1ac6dcc0561c0,sol-updown-5m-1773183600,SOL,5m,"Solana Up or Down - March 10, 7:00PM-7:05PM ET",99776808708363445692617938438167951173426596219928196917105729796160050762672,9285157397748765066258270175806843706529098153842732285613676296490071517403,2026-03-10T23:05:00Z,1773183900000
1773171905350,0x6edd7316969d414de9c410dbab82f746d883c9340fdf557e6e935363af9894d6,sol-updown-5m-1773183900,SOL,5m,"Solana Up or Down - March 10, 7:05PM-7:10PM ET",40791058037562575735903866803026820512920713944235041938312623663925678937684,67911325347072580595112216811258149788539928229832282557310755559190061519890,2026-03-10T23:10:00Z,1773184200000
1773171905350,0xff76deb9bf5525a9db47f775d2a2859d04d0293011d59b8043a06c7a626e94ea,sol-updown-5m-1773184200,SOL,5m,"Solana Up or Down - March 10, 7:10PM-7:15PM ET",73644111735660237085493936622401319757274042482352666033998506663899472638324,19691476131121385491318062717453668607531708688721229697245357555325209966518,2026-03-10T23:15:00Z,1773184500000
1773171905350,0x1c86a19313475c2b1486849591d42c42e4051b836d74ac7c39d6edd8a13d2b05,sol-updown-15m-1773184500,SOL,15m,"Solana Up or Down - March 10, 7:15PM-7:30PM ET",76615450001040327514462413826766188782663973489521742480625342697005424328721,112080888276491380200311115751616047749507591231330386040569801693718884928446,2026-03-10T23:30:00Z,1773185400000
