timestamp_ms,condition_id,token_id,outcome,best_bid,best_ask,bid_depth_3,ask_depth_3,mid_price,spread,bid_1_price,bid_1_size,bid_2_price,bid_2_size,bid_3_price,bid_3_size,bid_4_price,bid_4_size,bid_5_price,bid_5_size,ask_1_price,ask_1_size,ask_2_price,ask_2_size,ask_3_price,ask_3_size,ask_4_price,ask_4_size,ask_5_price,ask_5_size,coin,timeframe,market_slug
1773171908806,0x18d1690fa520becae65a96391d732f263932364c95421e01e20e7b4f1bf938c3,93962995084282252177460239037900894633333998358554997594068365143582312434029,Up,0.5,0.51,2540.7200000000003,3707.73,0.505,0.010000000000000009,0.5,115.84,0.49,1456.88,0.48,968.0,0.47,1074.0,0.46,821.0,0.51,1665.73,0.52,968.0,0.53,1074.0,0.54,821.0,0.55,1066.0,BTC,5m,btc-updown-5m-1773177000
1773171908806,0x33adb17d36e66dbd7207844a4d6a0fa03e11dbeaa8e5e831399c23da6a6aaed9,65351361550197913293633525292642115643197193654720483379470824633726012249836,Down,0.49,0.5,3758.02,2707.43,0.495,0.010000000000000009,0.49,1346.0,0.48,1159.0,0.47,1253.02,0.46,1150.45,0.45,1162.63,0.5,145.35,0.51,1351.0,0.52,1211.08,0.53,1199.83,0.54,1150.45,BTC,15m,btc-updown-15m-1773176400
1773171908806,0x18d1690fa520becae65a96391d732f263932364c95421e01e20e7b4f1bf938c3,106958168337418212792960937914617159600822212883323802004859887561615679394098,Down,0.49,0.5,3707.73,2540.7200000000003,0.495,0.010000000000000009,0.49,1665.73,0.48,968.0,0.47,1074.0,0.46,821.0,0.45,1066.0,0.5,115.84,0.51,1456.88,0.52,968.0,0.53,1074.0,0.54,821.0,BTC,5m,btc-updown-5m-1773177000
1773171908806,0x33adb17d36e66dbd7207844a4d6a0fa03e11dbeaa8e5e831399c23da6a6aaed9,85055677930409145825067954489557550635433837991193524560911495728421733283146,Up,0.5,0.51,2707.43,3758.02,0.505,0.010000000000000009,0.5,145.35,0.49,1351.0,0.48,1211.08,0.47,1199.83,0.46,1150.45,0.51,1346.0,0.52,1159.0,0.53,1253.02,0.54,1150.45,0.55,1162.63,BTC,15m,btc-updown-15m-1773176400
1773171908806,0x7c7702846e5df0f8912257f4b96e5091c406f43cdbd484298b30e337d08d7589,39098083868376466796987984401542945386316527657417236127398879750061165064380,Up,0.5,0.51,2615.58,3684.58,0.505,0.010000000000000009,0.5,194.58,0.49,1440.0,0.48,981.0,0.47,1079.0,0.46,821.0,0.51,1629.58,0.52,976.0,0.53,1079.0,0.54,821.0,0.55,1066.0,BTC,5m,btc-updown-5m-1773176700
1773171908806,0x24512a2d7453baacdd31dc91c77cce89d45a7bc66275709f3d9e2bde4959f8d2,72717383042464679696725520190159602023084860144908847601135435585744847216210,Down,0.49,0.5,3684.77,2415.77,0.495,0.010000000000000009,0.49,1634.77,0.48,976.0,0.47,1074.0,0.46,821.0,0.45,1066.0,0.5,150.77,0.51,1289.0,0.52,976.0,0.53,1074.0,0.54,821.0,BTC,5m,btc-updown-5m-1773178200
1773171908806,0x046cd3219987a4ecba8ddd8fe097bd19d08def49f61c79ef7b736d24ad75ce4a,23780034001457738825509675039449176583656779302723800411052492191668357244365,Down,0.49,0.51,3770.25,3790.08,0.5,0.020000000000000018,0.49,1334.17,0.48,1271.08,0.47,1165.0,0.46,1103.0,0.45,1092.0,0.51,1354.0,0.52,1271.08,0.53,1165.0,0.54,1103.0,0.55,1092.0,BTC,15m,btc-updown-15m-1773178200
1773171908806,0x47996c7ee97fbb1690c1d862e769b640565161528dc05ba166ad389d407a2d43,108050783301422490844954251913357379504730448521744155648436609982903044244673,Up,0.5,0.51,2616.21,3437.13,0.505,0.010000000000000009,0.5,200.21,0.49,1440.0,0.48,976.0,0.47,1079.0,0.46,821.0,0.51,1382.13,0.52,976.0,0.53,1079.0,0.54,821.0,0.55,1066.0,BTC,5m,btc-updown-5m-1773177300
1773171908806,0x24512a2d7453baacdd31dc91c77cce89d45a7bc66275709f3d9e2bde4959f8d2,46548273514105729533764063517089126863889033057359624163673678993918477482526,Up,0.5,0.51,2415.77,3684.77,0.505,0.010000000000000009,0.5,150.77,0.49,1289.0,0.48,976.0,0.47,1074.0,0.46,821.0,0.51,1634.77,0.52,976.0,0.53,1074.0,0.54,821.0,0.55,1066.0,BTC,5m,btc-updown-5m-1773178200
1773171908806,0x1f025e74ad0d2621a7f2c1df11279e76a11bb8fd3c1d98b7d2b68a6240f6f5e0,18071118848851536847562067240565988975450502011080471882709230867304089296048,Down,0.49,0.5,3444.7,2580.7,0.495,0.010000000000000009,0.49,1393.7,0.48,977.0,0.47,1074.0,0.46,821.0,0.45,1066.0,0.5,163.7,0.51,1440.0,0.52,977.0,0.53,1074.0,0.54,821.0,BTC,5m,btc-updown-5m-1773177600
